Age (in months)	3rd Percentile BMI Value	5th Percentile BMI Value	10th Percentile BMI Value	25th Percentile BMI Value	50th Percentile BMI Value	75th Percentile BMI Value	85th Percentile BMI Value	90th Percentile BMI Value	95th Percentile BMI Value	97th Percentile BMI Value
24	14.14735	14.39787	14.80134	15.52808	16.4234	17.42746	18.01821	18.44139	19.10624	19.56411
24.5	14.13226	14.38019	14.77965	15.49976	16.38804	17.38582	17.97371	18.39526	19.05824	19.51534
25.5	14.10241	14.34527	14.73695	15.44422	16.31897	17.30485	17.88749	18.30611	18.96595	19.42198
26.5	14.07297	14.31097	14.69516	15.39015	16.25208	17.22693	17.80489	18.22103	18.87853	19.3341
27.5	14.04396	14.27728	14.65429	15.33754	16.18735	17.15202	17.72586	18.13997	18.79591	19.25163
28.5	14.01538	14.2442	14.61434	15.2864	16.12475	17.08009	17.65035	18.06285	18.718	19.17448
29.5	13.98723	14.21175	14.57531	15.23671	16.06429	17.01107	17.5783	17.98962	18.64472	19.10255
30.5	13.9595	14.17992	14.5372	15.18848	16.00593	16.94495	17.50965	17.92019	18.57599	19.03578
31.5	13.93221	14.14871	14.50003	15.14171	15.94967	16.88168	17.44435	17.85452	18.51173	18.97407
32.5	13.90536	14.11813	14.46378	15.09638	15.89548	16.82123	17.38235	17.79253	18.45187	18.91733
33.5	13.87893	14.08818	14.42846	15.0525	15.84336	16.76355	17.3236	17.73416	18.39632	18.86548
34.5	13.85295	14.05885	14.39406	15.01007	15.79329	16.70862	17.26804	17.67936	18.345	18.81843
35.5	13.82741	14.03016	14.3606	14.96907	15.74526	16.65641	17.21564	17.62805	18.29784	18.77609
36.5	13.8023	14.00209	14.32806	14.9295	15.69924	16.60687	17.16634	17.58019	18.25475	18.73838
37.5	13.77763	13.97466	14.29645	14.89136	15.65523	16.55998	17.12009	17.53571	18.21567	18.7052
38.5	13.75341	13.94786	14.26576	14.85465	15.61321	16.5157	17.07685	17.49455	18.18051	18.67647
39.5	13.72964	13.92169	14.23599	14.81934	15.57317	16.474	17.03658	17.45667	18.14919	18.6521
40.5	13.70631	13.89615	14.20714	14.78544	15.53508	16.43486	16.99923	17.422	18.12165	18.632
41.5	13.68343	13.87124	14.1792	14.75293	15.49893	16.39824	16.96476	17.39049	18.09781	18.61608
42.5	13.66101	13.84697	14.15218	14.7218	15.4647	16.36411	16.93312	17.3621	18.07759	18.60425
43.5	13.63905	13.82333	14.12606	14.69205	15.43238	16.33244	16.90428	17.33676	18.06093	18.59643
44.5	13.61756	13.80033	14.10084	14.66365	15.40193	16.3032	16.8782	17.31442	18.04775	18.59253
45.5	13.59654	13.77796	14.07653	14.63661	15.37335	16.27636	16.85483	17.29505	18.03799	18.59246
46.5	13.57599	13.75624	14.05311	14.61091	15.34661	16.25188	16.83413	17.27858	18.03158	18.59614
47.5	13.55592	13.73516	14.03059	14.58652	15.32168	16.22973	16.81606	17.26497	18.02844	18.60348
48.5	13.53635	13.71472	14.00895	14.56345	15.29855	16.20988	16.80058	17.25417	18.02851	18.61441
49.5	13.51728	13.69493	13.9882	14.54167	15.27719	16.19229	16.78765	17.24613	18.03174	18.62883
50.5	13.4987	13.67579	13.96833	14.52117	15.25757	16.17693	16.77723	17.24081	18.03805	18.64667
51.5	13.48065	13.65731	13.94933	14.50194	15.23967	16.16378	16.76927	17.23815	18.04738	18.66785
52.5	13.46311	13.63948	13.93121	14.48396	15.22347	16.15278	16.76375	17.23811	18.05967	18.69229
53.5	13.4461	13.62231	13.91396	14.46721	15.20894	16.14391	16.7606	17.24065	18.07486	18.71992
54.5	13.42963	13.6058	13.89757	14.45169	15.19606	16.13714	16.75981	17.24571	18.09289	18.75065
55.5	13.4137	13.58997	13.88205	14.43738	15.1848	16.13242	16.76132	17.25326	18.1137	18.78441
56.5	13.39833	13.5748	13.86739	14.42427	15.17513	16.12972	16.76509	17.26324	18.13722	18.82113
57.5	13.38352	13.56031	13.85358	14.41233	15.16703	16.12901	16.77108	17.2756	18.16341	18.86074
58.5	13.36927	13.54649	13.84062	14.40156	15.16047	16.13025	16.77925	17.29031	18.19221	18.90315
59.5	13.35561	13.53336	13.82852	14.39194	15.15543	16.1334	16.78956	17.30732	18.22355	18.94832
60.5	13.34252	13.52091	13.81726	14.38345	15.15188	16.13843	16.80197	17.32657	18.25738	18.99615
61.5	13.33003	13.50915	13.80684	14.37609	15.1498	16.14531	16.81644	17.34803	18.29365	19.04659
62.5	13.31814	13.49808	13.79726	14.36984	15.14917	16.154	16.83292	17.37165	18.3323	19.09957
63.5	13.30685	13.4877	13.78852	14.36469	15.14995	16.16446	16.85138	17.39739	18.37327	19.15501
64.5	13.29618	13.47802	13.78061	14.36062	15.15213	16.17665	16.87177	17.42519	18.41651	19.21286
65.5	13.28612	13.46903	13.77353	14.35762	15.15567	16.19056	16.89405	17.45502	18.46197	19.27305
66.5	13.27668	13.46075	13.76728	14.35567	15.16056	16.20613	16.91819	17.48683	18.50959	19.33552
67.5	13.26788	13.45317	13.76185	14.35478	15.16678	16.22334	16.94415	17.52057	18.55932	19.4002
68.5	13.2597	13.4463	13.75724	14.35491	15.17429	16.24214	16.97187	17.5562	18.61111	19.46703
69.5	13.25217	13.44013	13.75345	14.35606	15.18309	16.26252	17.00134	17.59369	18.6649	19.53594
70.5	13.24528	13.43467	13.75047	14.35823	15.19313	16.28443	17.03249	17.63297	18.72064	19.60689
71.5	13.23904	13.42991	13.7483	14.36138	15.20441	16.30785	17.06531	17.67402	18.77829	19.6798
72.5	13.23345	13.42587	13.74694	14.36552	15.2169	16.33273	17.09974	17.71678	18.83778	19.75462
73.5	13.22851	13.42254	13.74637	14.37063	15.23058	16.35906	17.13575	17.76122	18.89907	19.83129
74.5	13.22423	13.41992	13.74661	14.3767	15.24543	16.38679	17.17331	17.8073	18.96211	19.90976
75.5	13.22062	13.41801	13.74764	14.38372	15.26142	16.41589	17.21237	17.85496	19.02685	19.98995
76.5	13.21766	13.41681	13.74946	14.39168	15.27854	16.44633	17.2529	17.90417	19.09324	20.07183
77.5	13.21538	13.41632	13.75206	14.40056	15.29676	16.47809	17.29485	17.95489	19.16123	20.15533
78.5	13.21376	13.41654	13.75544	14.41035	15.31607	16.51113	17.3382	18.00708	19.23077	20.2404
79.5	13.21281	13.41748	13.75961	14.42104	15.33644	16.54542	17.38291	18.06069	19.30182	20.32698
80.5	13.21253	13.41912	13.76454	14.43263	15.35785	16.58094	17.42894	18.11569	19.37432	20.41502
81.5	13.21293	13.42147	13.77024	14.44509	15.38029	16.61764	17.47626	18.17203	19.44822	20.50447
82.5	13.214	13.42453	13.7767	14.45842	15.40374	16.65551	17.52482	18.22968	19.52349	20.59528
83.5	13.21574	13.42829	13.78393	14.47261	15.42817	16.69451	17.5746	18.28859	19.60008	20.68739
84.5	13.21816	13.43276	13.7919	14.48765	15.45357	16.73462	17.62557	18.34873	19.67794	20.78075
85.5	13.22125	13.43793	13.80063	14.50352	15.47991	16.7758	17.67768	18.41007	19.75702	20.87531
86.5	13.22502	13.4438	13.8101	14.52021	15.50718	16.81803	17.7309	18.47255	19.83728	20.97103
87.5	13.22946	13.45037	13.8203	14.53772	15.53537	16.86129	17.7852	18.53615	19.91867	21.06786
88.5	13.23458	13.45764	13.83124	14.55603	15.56444	16.90553	17.84055	18.60082	20.00116	21.16573
89.5	13.24037	13.4656	13.8429	14.57513	15.59439	16.95075	17.89692	18.66653	20.08469	21.26462
90.5	13.24683	13.47425	13.85529	14.59501	15.6252	16.9969	17.95426	18.73325	20.16923	21.36447
91.5	13.25397	13.48359	13.86839	14.61566	15.65684	17.04396	18.01256	18.80093	20.25473	21.46524
92.5	13.26177	13.49362	13.88221	14.63706	15.6893	17.09191	18.07177	18.86955	20.34116	21.56688
93.5	13.27025	13.50432	13.89673	14.65922	15.72257	17.14072	18.13187	18.93906	20.42846	21.66935
94.5	13.27939	13.51571	13.91194	14.68211	15.75662	17.19037	18.19283	19.00943	20.51661	21.77259
95.5	13.28919	13.52777	13.92785	14.70572	15.79143	17.24082	18.2546	19.08063	20.60555	21.87658
96.5	13.29966	13.5405	13.94445	14.73005	15.827	17.29206	18.31718	19.15262	20.69525	21.98126
97.5	13.31079	13.5539	13.96173	14.75508	15.86329	17.34405	18.38051	19.22537	20.78568	22.0866
98.5	13.32257	13.56797	13.97968	14.78081	15.9003	17.39678	18.44458	19.29884	20.87678	22.19255
99.5	13.33502	13.58269	13.99829	14.80722	15.93802	17.45022	18.50936	19.37301	20.96853	22.29907
100.5	13.34811	13.59807	14.01757	14.8343	15.97641	17.50434	18.57481	19.44784	21.06089	22.40613
101.5	13.36185	13.6141	14.03751	14.86204	16.01546	17.55912	18.64091	19.52329	21.15381	22.51367
102.5	13.37624	13.63077	14.05809	14.89043	16.05517	17.61454	18.70762	19.59935	21.24727	22.62168
103.5	13.39126	13.64809	14.07931	14.91946	16.09551	17.67057	18.77493	19.67596	21.34123	22.73009
104.5	13.40693	13.66605	14.10116	14.94911	16.13646	17.7272	18.8428	19.75312	21.43565	22.83889
105.5	13.42323	13.68463	14.12364	14.97938	16.17801	17.78438	18.91121	19.83077	21.53049	22.94803
106.5	13.44016	13.70384	14.14675	15.01026	16.22014	17.84212	18.98012	19.9089	21.62573	23.05747
107.5	13.45772	13.72368	14.17046	15.04173	16.26284	17.90037	19.04952	19.98748	21.72133	23.16719
108.5	13.4759	13.74413	14.19478	15.07378	16.30609	17.95912	19.11937	20.06647	21.81725	23.27714
109.5	13.4947	13.76519	14.2197	15.10641	16.34988	18.01835	19.18965	20.14584	21.91347	23.3873
110.5	13.51411	13.78685	14.2452	15.1396	16.39418	18.07803	19.26034	20.22558	22.00996	23.49762
111.5	13.53412	13.80911	14.27129	15.17334	16.43899	18.13815	19.3314	20.30564	22.10667	23.60808
112.5	13.55474	13.83197	14.29796	15.20762	16.48428	18.19867	19.40282	20.38601	22.20358	23.71865
113.5	13.57596	13.85541	14.32519	15.24242	16.53005	18.25959	19.47457	20.46665	22.30066	23.82929
114.5	13.59777	13.87943	14.35298	15.27775	16.57627	18.32088	19.54662	20.54754	22.39789	23.93997
115.5	13.62017	13.90402	14.38132	15.31358	16.62293	18.38251	19.61895	20.62866	22.49522	24.05066
116.5	13.64315	13.92918	14.4102	15.3499	16.67002	18.44447	19.69154	20.70997	22.59264	24.16134
117.5	13.6667	13.9549	14.43962	15.38671	16.71751	18.50675	19.76436	20.79145	22.69011	24.27198
118.5	13.69082	13.98118	14.46957	15.42399	16.7654	18.5693	19.83739	20.87308	22.78761	24.38254
119.5	13.7155	14.008	14.50003	15.46173	16.81368	18.63213	19.91061	20.95484	22.88511	24.49299
120.5	13.74074	14.03535	14.531	15.49992	16.86231	18.6952	19.984	21.03669	22.98258	24.60333
121.5	13.76653	14.06324	14.56247	15.53855	16.9113	18.7585	20.05753	21.11861	23.08	24.71351
122.5	13.79287	14.09166	14.59444	15.57761	16.96062	18.82202	20.13118	21.20059	23.17734	24.82351
123.5	13.81974	14.12059	14.62688	15.61709	17.01026	18.88572	20.20493	21.28259	23.27458	24.93331
124.5	13.84714	14.15003	14.6598	15.65696	17.06021	18.94959	20.27876	21.3646	23.3717	25.04288
125.5	13.87506	14.17997	14.69319	15.69724	17.11045	19.01362	20.35264	21.44659	23.46867	25.15221
126.5	13.9035	14.21041	14.72703	15.73789	17.16097	19.07779	20.42657	21.52854	23.56546	25.26126
127.5	13.93244	14.24133	14.76132	15.77891	17.21174	19.14207	20.50052	21.61043	23.66206	25.37002
128.5	13.96188	14.27272	14.79605	15.8203	17.26277	19.20645	20.57446	21.69224	23.75845	25.47846
129.5	13.99182	14.30459	14.8312	15.86203	17.31403	19.27091	20.64838	21.77396	23.8546	25.58657
130.5	14.02224	14.33691	14.86677	15.9041	17.36551	19.33544	20.72227	21.85555	23.95049	25.69432
131.5	14.05314	14.36969	14.90275	15.94649	17.41719	19.40001	20.79609	21.937	24.0461	25.80169
132.5	14.0845	14.4029	14.93913	15.98919	17.46907	19.46462	20.86984	22.01829	24.14141	25.90868
