Age (in months)	3rd Percentile BMI Value	5th Percentile BMI Value	10th Percentile BMI Value	25th Percentile BMI Value	50th Percentile BMI Value	75th Percentile BMI Value	85th Percentile BMI Value	90th Percentile BMI Value	95th Percentile BMI Value	97th Percentile BMI Value
24	14.52095	14.73732	15.09033	15.74164	16.57503	17.55719	18.16219	18.60948	19.33801	19.85986
24.5	14.50348	14.71929	15.07117	15.71963	16.54777	17.52129	18.11955	18.56111	19.2789	19.79194
25.5	14.46882	14.68361	15.03336	15.67634	16.49443	17.45135	18.03668	18.4673	19.16466	19.66102
26.5	14.4346	14.64843	14.9962	15.63403	16.4426	17.38384	17.957	18.37736	19.05567	19.53658
27.5	14.40083	14.61379	14.95969	15.59268	16.39224	17.31871	17.88047	18.29125	18.95187	19.41849
28.5	14.36755	14.57969	14.92385	15.55226	16.34334	17.25593	17.80704	18.20892	18.85317	19.30665
29.5	14.33478	14.54615	14.88866	15.51275	16.29584	17.19546	17.73667	18.13031	18.75949	19.20097
30.5	14.30257	14.51319	14.85414	15.47414	16.24972	17.13726	17.66932	18.05538	18.67078	19.10132
31.5	14.27093	14.48084	14.82027	15.43639	16.20495	17.0813	17.60495	17.98408	18.58695	19.00761
32.5	14.23989	14.44909	14.78707	15.39951	16.1615	17.02753	17.54351	17.91635	18.50792	18.91973
33.5	14.20948	14.41798	14.75453	15.36345	16.11933	16.97592	17.48496	17.85215	18.43363	18.83758
34.5	14.17972	14.3875	14.72264	15.32822	16.07843	16.92645	17.42927	17.79143	18.364	18.76106
35.5	14.15063	14.35767	14.69142	15.29379	16.03876	16.87907	17.37639	17.73414	18.29895	18.69006
36.5	14.12223	14.32851	14.66086	15.26016	16.0003	16.83376	17.32627	17.68022	18.23842	18.62449
37.5	14.09453	14.30002	14.63096	15.22731	15.96304	16.79048	17.27889	17.62963	18.18231	18.56425
38.5	14.06756	14.27222	14.60173	15.19523	15.92695	16.7492	17.23419	17.58231	18.13057	18.50924
39.5	14.04132	14.2451	14.57316	15.16392	15.89203	16.70988	17.19213	17.5382	18.08311	18.45938
40.5	14.01582	14.21868	14.54527	15.13337	15.85824	16.67251	17.15266	17.49725	18.03986	18.41456
41.5	13.99107	14.19297	14.51805	15.10359	15.82559	16.63704	17.11575	17.45941	18.00074	18.37469
42.5	13.96707	14.16796	14.49151	15.07458	15.79406	16.60345	17.08135	17.42462	17.96568	18.33969
43.5	13.94383	14.14367	14.46566	15.04633	15.76364	16.5717	17.04941	17.39282	17.93459	18.30947
44.5	13.92133	14.12009	14.4405	15.01886	15.73434	16.54177	17.01988	17.36395	17.90741	18.28393
45.5	13.89959	14.09723	14.41604	14.99218	15.70614	16.51364	16.99272	17.33795	17.88405	18.263
46.5	13.87858	14.07509	14.39229	14.96629	15.67904	16.48726	16.96789	17.31477	17.86444	18.24658
47.5	13.85832	14.05366	14.36926	14.9412	15.65305	16.46262	16.94533	17.29434	17.8485	18.23459
48.5	13.83877	14.03296	14.34695	14.91694	15.62817	16.4397	16.92501	17.27661	17.83614	18.22694
49.5	13.81995	14.01296	14.32537	14.89351	15.60441	16.41846	16.90688	17.26151	17.8273	18.22354
50.5	13.80182	13.99367	14.30453	14.87093	15.58176	16.39889	16.89089	17.24899	17.82189	18.22431
51.5	13.78439	13.97509	14.28444	14.84921	15.56025	16.38097	16.87701	17.23899	17.81983	18.22915
52.5	13.76763	13.95722	14.2651	14.82838	15.53987	16.36468	16.86519	17.23145	17.82104	18.23799
53.5	13.75152	13.94003	14.24651	14.80844	15.52065	16.35001	16.8554	17.22632	17.82544	18.25071
54.5	13.73606	13.92353	14.22868	14.78941	15.50258	16.33693	16.8476	17.22354	17.83295	18.26725
55.5	13.72123	13.90771	14.21162	14.7713	15.48569	16.32545	16.84176	17.22306	17.84349	18.2875
56.5	13.70702	13.89257	14.19532	14.75414	15.46998	16.31554	16.83784	17.22483	17.85699	18.31136
57.5	13.6934	13.87809	14.17979	14.73792	15.45546	16.3072	16.8358	17.2288	17.87335	18.33875
58.5	13.68036	13.86426	14.16503	14.72266	15.44214	16.30042	16.83563	17.23493	17.89252	18.36957
59.5	13.6679	13.85108	14.15103	14.70836	15.43003	16.29518	16.83729	17.24315	17.9144	18.40373
60.5	13.656	13.83855	14.1378	14.69504	15.41914	16.29148	16.84076	17.25344	17.93893	18.44112
61.5	13.64464	13.82665	14.12534	14.68269	15.40947	16.28932	16.846	17.26575	17.96602	18.48166
62.5	13.63383	13.81537	14.11363	14.67133	15.40103	16.28868	16.853	17.28003	17.99562	18.52525
63.5	13.62355	13.80472	14.10268	14.66094	15.39382	16.28955	16.86173	17.29625	18.02764	18.57179
64.5	13.61379	13.79469	14.09249	14.65154	15.38783	16.29192	16.87217	17.31437	18.06201	18.6212
65.5	13.60456	13.78527	14.08305	14.64312	15.38307	16.29578	16.88428	17.33435	18.09868	18.67337
66.5	13.59584	13.77646	14.07436	14.63567	15.37953	16.30113	16.89805	17.35616	18.13758	18.72823
67.5	13.58764	13.76825	14.06642	14.6292	15.37721	16.30794	16.91346	17.37975	18.17863	18.78569
68.5	13.57996	13.76065	14.05921	14.62369	15.37609	16.3162	16.93048	17.4051	18.22179	18.84564
69.5	13.57278	13.75364	14.05274	14.61914	15.37618	16.3259	16.94909	17.43217	18.26698	18.90802
70.5	13.56612	13.74724	14.04701	14.61555	15.37745	16.33702	16.96925	17.46092	18.31416	18.97273
71.5	13.55998	13.74144	14.042	14.6129	15.37991	16.34955	16.99096	17.49133	18.36325	19.03969
72.5	13.55435	13.73624	14.03772	14.6112	15.38353	16.36346	17.01418	17.52335	18.41421	19.10882
73.5	13.54925	13.73164	14.03417	14.61042	15.38831	16.37875	17.03888	17.55696	18.46699	19.18005
74.5	13.54467	13.72764	14.03134	14.61057	15.39423	16.39537	17.06505	17.59212	18.52152	19.25329
75.5	13.54062	13.72424	14.02922	14.61163	15.40127	16.41333	17.09265	17.6288	18.57775	19.32847
76.5	13.5371	13.72145	14.02783	14.61359	15.40943	16.4326	17.12166	17.66696	18.63564	19.40551
77.5	13.53412	13.71927	14.02714	14.61645	15.41869	16.45315	17.15206	17.70658	18.69513	19.48434
78.5	13.53168	13.71769	14.02717	14.6202	15.42902	16.47496	17.1838	17.74762	18.75617	19.5649
79.5	13.5298	13.71672	14.02791	14.62483	15.44042	16.49801	17.21688	17.79004	18.81872	19.6471
80.5	13.52846	13.71637	14.02935	14.63032	15.45288	16.52229	17.25126	17.83382	18.88272	19.73089
81.5	13.52768	13.71663	14.0315	14.63668	15.46636	16.54776	17.28691	17.87892	18.94814	19.81619
82.5	13.52747	13.71751	14.03435	14.64389	15.48087	16.5744	17.3238	17.92532	19.01491	19.90294
83.5	13.52782	13.71901	14.03791	14.65194	15.49637	16.60219	17.36192	17.97296	19.083	19.99107
84.5	13.52874	13.72113	14.04216	14.66082	15.51287	16.63112	17.40122	18.02183	19.15236	20.08052
85.5	13.53025	13.72387	14.04711	14.67054	15.53034	16.66114	17.44168	18.0719	19.22295	20.17123
86.5	13.53233	13.72724	14.05276	14.68107	15.54876	16.69225	17.48329	18.12312	19.29471	20.26314
87.5	13.535	13.73124	14.0591	14.69241	15.56812	16.72442	17.52599	18.17548	19.36761	20.35618
88.5	13.53826	13.73587	14.06613	14.70455	15.58841	16.75763	17.56978	18.22893	19.44161	20.45031
89.5	13.54212	13.74113	14.07386	14.71749	15.60961	16.79185	17.61462	18.28344	19.51666	20.54545
90.5	13.54657	13.74702	14.08228	14.73121	15.63171	16.82707	17.66049	18.33899	19.59272	20.64155
91.5	13.55163	13.75355	14.09138	14.74571	15.65469	16.86325	17.70736	18.39554	19.66974	20.73856
92.5	13.55729	13.76071	14.10116	14.76099	15.67853	16.90039	17.7552	18.45306	19.74769	20.83643
93.5	13.56356	13.76852	14.11163	14.77703	15.70323	16.93845	17.80398	18.51152	19.82652	20.93509
94.5	13.57044	13.77695	14.12279	14.79382	15.72877	16.97742	17.85369	18.57089	19.9062	21.03449
